4960.3702,[O III] 4959
5006.4731,[N II] 5005
5008.3137,[O III] 5007
5017.1561,He I 5015.68A
5049.1251,He I 5047.64A
5193.3456,[Ar III] 5192
5199.4273,[N I] 5198
5201.788,[N I] 5200
5271.9477,[Fe III] 5270.40A
5324.8426,[Cl IV] 5324
5519.3273,[Cl III] 5518
5539.493,[Cl III] 5538
5578.9741,[O I] 5577
5680.6628,[N II] 5679
5756.2941,[N II] 5755
5877.3583,He I 5875.64A
5891.6724,Na I 5889.95A
6302.1385,[O I] 6300
6313.9018,[S III] 6312
6365.6364,[O I] 6363
6549.9587,[N II] 6548
6564.7229,Ba-alpha 6563
6585.3687,[N II] 6584
6680.0956,He I 6678.15A
6718.3965,[S II] 6716
6721.9575,[S II] 6720
6732.7805,[S II] 6731
7067.2755,He I 7065.22A
7137.8656,[Ar III] 7135
7172.7855,[Ar IV] 7171
7239.8746,[Ar IV] 7237
7265.4418,[Ar IV] 7263
7283.467,He I 7281.35A
7308.124,[Ca II] 7306
7325.1288,[O II] 7323
7334.1314,[O II] 7332
7334.2814,[Ar IV] 7332
7532.7278,[Cl IV] 7532
7753.3606,[Ar III] 7751
7775.2569,O I 7773
7951.8072,O I 7949
8047.9546,[Cl IV] 8047
8364.1547,He I 8361.73A
8581.1866,[Cl II] 8579
8619.4475,[Fe II] 8616.95A
8729.6589,[C I] 8727
9017.4811,Pa-7 9015
9071.2464,[S III] 9069
9126.2421,[Cl II] 9124
9231.6422,Pa-6 9229
9266.6822,O I 9264
9466.3092,He I 9463.57A
9533.3784,[S III] 9532
9548.6928,Pa-5 9546
9606.2192,He I 9603.44A
9852.8497,[C I] 9850
9905.8648,[C II] 9903
10052.207,Pa-delta 1.00494um
10111.824,Fe VI 1.01089m
10126.228,He II 1.01233um
10289.675,[S II] 1.02867um
10314.282,He I 1.03113um
10323.484,[S II] 1.03205um
10339.389,[S II] 1.03364um
10373.499,[S II] 1.03705um
10670.884,He I 1.06678um
10749.306,[Fe XIII] 1.07462m
10833.43,He I 1.08303um
10916.154,He I 1.09130um
10920.255,He I 1.09171um
10941.161,Pa-gamma 1.09381um
10999.778,He I 1.09966um
11016.282,He I 1.10131um
11048.192,He I 1.10450um
11471.513,P II 1.14682um
11886.231,P II 1.18828um
11972.656,He I 1.19692um
12531.016,He I 1.25274um
12570.427,Fe II 1.25668um
12788.59,He I 1.27849um
12794.192,He I 1.27905um
12821.699,Pa-beta 1.28181um
12849.807,He I 1.28461um
12972.143,He I 1.29684um
12988.647,He I 1.29849um
13209.311,Fe II 1.32055um
13415.57,He I 1.34117um
13722.157,Fe II 1.37181um
14304.925,[Si X] 1.43008um
15088.049,He I 1.50837um
16440.237,Fe II 1.64355um
17007.6,He I 1.70027um
17367.003,Br-6 1.73621um
18099.113,Fe II 1.80939um
18179.236,Br-5 1.81741um
18690.783,He I 1.86854um
18702.586,He I 1.86972um
18756.402,Pa-alpha 1.8751um
19094.899,He I 1.90894um
19350.172,[SI XI] 1.93446m
19451.001,Br-delta 1.94456um
19548.629,He I 1.95430um
19630.353,[Si VI] 1.96247um
20450.288,[Al IX] 2.04444m
20587.227,He I 2.05813um
21124.082,He I 2.11180um
21136.385,He I 2.11303um
21661.336,Br-gamma 2.16553um
23218.383,[Ca VIII] 2.32117um
24734.519,He I 2.47274um
24814.241,[Si VII] 2.48071um
26192.537,He I 2.61850um
26206.041,He I 2.61985um
26241.351,He I 2.62338um
26258.856,Br-beta 2.62515um
29053.359,[Al V] 2.90450um
30392.244,Pf-5 3.03837um
32070.226,[Ca IV] 3.20610um
32970.185,Pf-delta 3.29609um
36603.729,[Al VI] 3.65932um
37036.654,He I 3.70260um
37405.86,Pf-gamma 3.73953um
39293.302,[Si IX] 3.92820um
40378.014,He I 4.03664um
40409.923,He I 4.03983um
40490.746,He I 4.04791um
40490.947,He I 4.04793um
40522.956,Br-alpha 4.05116um
42958.256,He I 4.29459um
44884.109,[Mg IV] 4.48712um
45293.027,[Ar VI] 4.52800um
46181.582,K III 4.61683um
46538.085,Pf-beta 4.65250um
51286.95,Hu-delta 5.12725um
53403.458,Fe II 5.33881um
55033.527,[Mg VII] 5.50177um
56086.13,[Mg V] 5.60700um
59082.491,Hu-gamma 5.90659um
59820.203,K IV 5.98030m
65147.535,[Si VII] 6.51288um
69853.788,Ar II 6.98337um
73191.647,Na III 7.31706m
74538.835,He I 7.45174um
74562.541,He I 7.45411um
74562.641,He I 7.45412um
74599.152,Pf-alpha 7.45781um
75025.374,Hu-beta 7.50043um
76453.785,[Ne VI] 7.64318um
78126.166,[Fe VII] 7.81037m
79019.823,[Ar V] 7.89971um
87601.19,H I 8.75760um
89915.656,Ar III 8.98898um
90091.406,[Mg VII] 9.00655um
90335.776,[Na IV] 9.03098um
95103.647,[Fe VII] 9.50763m
105106.22,[S IV] 10.5076um
113087.52,H I 11.3055um
117662.83,Cl IV 11.7629um
123109.4,[Fe VI] 12.3074m
123719.57,Hu-alpha 12.3685um
128137.85,Ne II 12.8101um
131022.67,[Ar V] 13.0985um
143269.2,[Ne V] 14.3228um
143680.31,Cl II 14.3639um
147712.47,[Fe VI] 14.7670m
155553.73,Ne III 15.5509um
162091.61,H I 16.2045um
178848.43,P III 17.8797um
179365.57,Fe II 17.9314um
187131.81,S III 18.7078um
190619.81,H I 19.0565um
195583.24,[Fe VI] 19.5527m
203255.44,Cl IV 20.3197um
218362.79,Ar III 21.8300um
229255.92,[Fe III] 22.9190um
242134.62,[Ne V] 24.2065um
245190.5,Fe II 24.5120um
258906.44,O IV 25.8832um
259885.73,Fe II 25.9811um
278034.94,H I 27.7955um
328714.52,P II 32.8620um
330364.99,[Fe III] 33.0270um
332816.7,Cl II 33.2721um
334800.27,S III 33.4704um
348146.1,Si II 34.8046um
353495.64,Fe II 35.3394um
360139.55,Ne III 36.0036um
388700.76,H I 38.8589um
513012.51,Fe II 51.2865um
516803.6,[Fe III] 51.6655um
518152.99,O III 51.8004um
573402.87,N III 57.3238um
606437.37,P II 60.6263um
631860.68,O I 63.1679um
883577.06,O III 88.3323um
1218020.2,N II 121.767um
1455368.5,O I 145.495um
1576813.4,C II 157.636um
2053030.3,N II 205.244um
3703755,[C I] 370.269um
6097653.3,[C I] 609.590um
